original,flipped
WWWH,HMMM
HWO,OMH
WZZM,WZZM
OIM,WIO
SXS,SXS
ONIS,SINO
IIIS,SIII
HMW,MWH
XIS,SIX
WHN,NHM
IMH,HWI
SWIN,NIMS
SXM,WXS
WMW,MWM
XSM,WSX
NXI,IXN
HWI,IMH
SISON,NOSIS
HNI,INH
NISIM,WISIN
SOSO,OSOS
MXZ,ZXW
INNI,INNI
SXX,XXS
INON,NONI
SOIS,SIOS
WWH,HMM
ININ,NINI
WIMS,SWIM
ZOS,SOZ
NHH,HHN
NXN,NXN
OZO,OZO
HHO,OHH
IIH,HII
HWW,MMH
WWM,WMM
ONW,MNO
NSHS,SHSN
NONIN,NINON
OWM,WMO
MOWS,SMOW
OOHS,SHOO
OHW,MHO
NHN,NHN
OWO,OMO
ONZ,ZNO
SWOS,SOMS
MXS,SXW
OSN,NSO
NWH,HMN
ZXX,XXZ
WOI,IOM
NISIN,NISIN
MZN,NZW
NISSIN,NISSIN
HNH,HNH
MNW,MNW
SXW,MXS
WOOM,WOOM
NNOS,SONN
ISZ,ZSI
WII,IIM
SONIN,NINOS
ONM,WNO
IXS,SXI
XXZ,ZXX
OIH,HIO
ZWI,IMZ
WWMM,WWMM
XWS,SMX
NIZ,ZIN
MSMS,SWSW
NOSIS,SISON
OIO,OIO
SHX,XHS
SNZ,ZNS
ISWS,SMSI
XSN,NSX
SOOZ,ZOOS
SIIS,SIIS
IWSS,SSMI
NOOM,WOON
SWIS,SIMS
HIW,MIH
HIZ,ZIH
HMN,NWH
SNSS,SSNS
NWM,WMN
WHOW,MOHM
NOSON,NOSON
ISIM,WISI
SMOS,SOWS
WZW,MZM
IMW,MWI
SMOH,HOWS
WWO,OMM
IWN,NMI
XSH,HSX
IZZI,IZZI
NXS,SXN
OOW,MOO
SHII,IIHS
MSSW,MSSW
HOOOO,OOOOH
OMON,NOWO
WIW,MIM
MXX,XXW
SSOS,SOSS
OWH,HMO
SMSI,ISWS
XIO,OIX
MHOS,SOHW
SNNS,SNNS
SIII,IIIS
SHSN,NSHS
SOSS,SSOS
HWH,HMH
ZOM,WOZ
IZO,OZI
SIOS,SOIS
XXN,NXX
SOOM,WOOS
WISIN,NISIM
HHM,WHH
ONX,XNO
IIW,MII
ZHS,SHZ
ZSI,ISZ
MOHM,WHOW
WHW,MHM
ONH,HNO
IWX,XMI
NOIX,XION
ZXZ,ZXZ
SOHM,WHOS
SWSW,MSMS
NOSI,ISON
HNW,MNH
IMZ,ZWI
NOWO,OMON
WNI,INM
NOIN,NION
INWO,OMNI
SIOW,MOIS
NOIZ,ZION
IHH,HHI
SWZ,ZMS
XXW,MXX
SMON,NOWS
ZOW,MOZ
OMZ,ZWO
XOXOXOX,XOXOXOX
IWH,HMI
IHW,MHI
SSII,IISS
NNH,HNN
SOSW,MSOS
NOSSON,NOSSON
WHH,HHM
WSSI,ISSM
XHS,SHX
ZIH,HIZ
NINON,NONIN
ISWI,IMSI
SSIN,NISS
XOS,SOX
SWSI,ISMS
HSZ,ZSH
SISS,SSIS
WXS,SXM
ISSM,WSSI
NONIS,SINON
WIHS,SHIM
NOOZ,ZOON
ZXW,MXZ
WIO,OIM
ISSX,XSSI
HSOW,MOSH
NZW,MZN
XSSI,ISSX
WSSM,WSSM
WXM,WXM
SSMI,IWSS
SMOW,MOWS
IXN,NXI
ZMS,SWZ
NO NO,ON ON
H H,H H
HO HO,OH OH
I I,I I
I NO,ON I
M M,W W
M W,M W
N N,N N
N O,O N
NO ON,NO ON
O N,N O
O O,O O
OH OH,HO HO
ON I,I NO
ON NO,ON NO
ON ON,NO NO
S S,S S
W W,M M
X X,X X
XX XX,XX XX
XXX XXX,XXX XXX
