original,flipped
WWWH,HMMM
HWO,OMH
WZZM,WZZM
OIM,WIO
SXS,SXS
ONIS,SINO
IIIS,SIII
HMW,MWH
XIS,SIX
WHN,NHM
IMH,HWI
SWIN,NIMS
SXM,WXS
WMW,MWM
XSM,WSX
NXI,IXN
HWI,IMH
SISON,NOSIS
HNI,INH
NISIM,WISIN
SOSO,OSOS
MXZ,ZXW
INNI,INNI
SXX,XXS
INON,NONI
SOIS,SIOS
WWH,HMM
ININ,NINI
WIMS,SWIM
ZOS,SOZ
NHH,HHN
NXN,NXN
OZO,OZO
HHO,OHH
IIH,HII
HWW,MMH
WWM,WMM
ONW,MNO
NSHS,SHSN
NONIN,NINON
OWM,WMO
MOWS,SMOW
OOHS,SHOO
OHW,MHO
NHN,NHN
OWO,OMO
ONZ,ZNO
SWOS,SOMS
MXS,SXW
OSN,NSO
NWH,HMN
ZXX,XXZ
WOI,IOM
NISIN,NISIN
MZN,NZW
NISSIN,NISSIN
HNH,HNH
MNW,MNW
SXW,MXS
WOOM,WOOM
NNOS,SONN
ISZ,ZSI
WII,IIM
SONIN,NINOS
ONM,WNO
IXS,SXI
XXZ,ZXX
OIH,HIO
ZWI,IMZ
WWMM,WWMM
XWS,SMX
NIZ,ZIN
MSMS,SWSW
NOSIS,SISON
OIO,OIO
SHX,XHS
SNZ,ZNS
ISWS,SMSI
XSN,NSX
SOOZ,ZOOS
SIIS,SIIS
IWSS,SSMI
NOOM,WOON
SWIS,SIMS
HIW,MIH
HIZ,ZIH
HMN,NWH
SNSS,SSNS
NWM,WMN
WHOW,MOHM
NOSON,NOSON
ISIM,WISI
SMOS,SOWS
WZW,MZM
IMW,MWI
SMOH,HOWS
WWO,OMM
IWN,NMI
XSH,HSX
IZZI,IZZI
NXS,SXN
OOW,MOO
SHII,IIHS
MSSW,MSSW
HOOOO,OOOOH
OMON,NOWO
WIW,MIM
MXX,XXW
SSOS,SOSS
OWH,HMO
SMSI,ISWS
XIO,OIX
MHOS,SOHW
SNNS,SNNS
SIII,IIIS
SHSN,NSHS
SOSS,SSOS
HWH,HMH
ZOM,WOZ
IZO,OZI
SIOS,SOIS
XXN,NXX
SOOM,WOOS
WISIN,NISIM
HHM,WHH
ONX,XNO
IIW,MII
ZHS,SHZ
ZSI,ISZ
MOHM,WHOW
WHW,MHM
ONH,HNO
IWX,XMI
NOIX,XION
ZXZ,ZXZ
SOHM,WHOS
SWSW,MSMS
NOSI,ISON
HNW,MNH
IMZ,ZWI
NOWO,OMON
WNI,INM
NOIN,NION
INWO,OMNI
SIOW,MOIS
NOIZ,ZION
IHH,HHI
SWZ,ZMS
XXW,MXX
SMON,NOWS
ZOW,MOZ
OMZ,ZWO
XOXOXOX,XOXOXOX
IWH,HMI
IHW,MHI
SSII,IISS
NNH,HNN
SOSW,MSOS
NOSSON,NOSSON
WHH,HHM
WSSI,ISSM
XHS,SHX
ZIH,HIZ
NINON,NONIN
ISWI,IMSI
SSIN,NISS
XOS,SOX
SWSI,ISMS
HSZ,ZSH
SISS,SSIS
WXS,SXM
ISSM,WSSI
NONIS,SINON
WIHS,SHIM
NOOZ,ZOON
ZXW,MXZ
WIO,OIM
ISSX,XSSI
HSOW,MOSH
NZW,MZN
XSSI,ISSX
WSSM,WSSM
WXM,WXM
SSMI,IWSS
SMOW,MOWS
IXN,NXI
ZMS,SWZ
HIM IN,NI WIH
HIM WHO,OHM WIH
HIS OWN,NMO SIH
HIS SON,NOS SIH
HOW IN,NI MOH
HOW IS,SI MOH
HOW ON,NO MOH
HOW SO,OS MOH
HOW SOON,NOOS MOH
IM IN,NI WI
IN HIS,SIH NI
IN NO,ON NI
IN SO,OS NI
INN IN,NI NNI
INN IS,SI NNI
INN ON,NO NNI
INNS IN,NI SNNI
IS IN,NI SI
MISSION IN,NI NOISSIW
MISSION IS,SI NOISSIW
MIX IN,NI XIW
MOM IS,SI WOW
MOON IN,NI NOOW
MOON IS,SI NOOW
NO NO,ON ON
NOW HOW,MOH MON
NOW I,I MON
NOW IN,NI MON
NOW IS,SI MON
NOW ON,NO MON
OH HOW,MOH HO
OH NO,ON HO
OHIO IN,NI OIHO
OHIO IS,SI OIHO
ON HIS,SIH NO
ON IN,NI NO
SHOW IN,NI MOHS
SHOW IS,SI MOHS
SHOW ON,NO MOHS
SHOWN IN,NI NMOHS
SHOWS HOW,MOH SMOHS
SHOWS IN,NI SMOHS
SHOWS ON,NO SMOHS
SNOW IN,NI MONS
SO HOW,MOH OS
SO I,I OS
SO IN,NI OS
SO IS,SI OS
SO NO,ON OS
SO NOW,MON OS
SO ON,NO OS
SO WHO,OHM OS
SON IN,NI NOS
SON IS,SI NOS
WHO IN,NI OHM
WHO IS,SI OHM
WHO OWNS,SNMO OHM
ZOOM IN,NI WOOZ
H H,H H
H I,I H
H IN,NI H
H IS,SI H
HI HI,IH IH
HI I,I IH
HIM HIS,SIH WIH
HIM HOW,MOH WIH
HIM IS,SI WIH
HIM NO,ON WIH
HIM NOW,MON WIH
HIM ON,NO WIH
HIM SO,OS WIH
HIS IN,NI SIH
HIS IS,SI SIH
HIS MISSION,NOISSIW SIH
HIS MOM,WOW SIH
HIS NOW,MON SIH
HIS ON,NO SIH
HIS SHOW,MOHS SIH
HIS SIN,NIS SIH
HIS SINS,SNIS SIH
HIS SIX,XIS SIH
HIS SONS,SNOS SIH
HIS WISH,HSIM SIH
HO HO,OH OH
HOW HIS,SIH MOH
HOW I,I MOH
I I,I I
I IN,NI I
I IS,SI I
I MISS,SSIW I
I N,N I
I NO,ON I
I NOW,MON I
I WISH,HSIM I
IM ON,NO WI
IM SO,OS WI
IN HIM,WIH NI
IN HOW,MOH NI
IN I,I NI
IN IN,NI NI
IN IS,SI NI
IN M,W NI
IN MISSION,NOISSIW NI
IN MM,WW NI
IN N,N NI
IN NON,NON NI
IN NOW,MON NI
IN OHIO,OIHO NI
IN ON,NO NI
IN OWN,NMO NI
IN S,S NI
IN SHOW,MOHS NI
IN SIN,NIS NI
IN SIX,XIS NI
IN SNOW,MONS NI
IN WHO,OHM NI
IN WHOM,WOHM NI
IN X,X NI
INNS INN,NNI SNNI
IONS IN,NI SNOI
IS HIS,SIH SI
IS HOW,MOH SI
IS I,I SI
IS IS,SI SI
IS N,N SI
IS NO,ON SI
IS NON,NON SI
IS NOW,MON SI
IS ON,NO SI
IS SHOWN,NMOHS SI
IS SIX,XIS SI
IS SO,OS SI
IS SOON,NOOS SI
IS SOOO,OOOS SI
IS SOOOO,OOOOS SI
IS WHO,OHM SI
IS WON,NOM SI
IS X,X SI
M IN,NI W
M IS,SI W
M M,W W
M N,N W
M ON,NO W
M S,S W
M W,M W
MIN IN,NI NIW
MISS HIM,WIH SSIW
MISSION ON,NO NOISSIW
MISSIONS IN,NI SNOISSIW
MIX IS,SI XIW
MM IN,NI WW
MM X,X WW
MOM IN,NI WOW
MOM SON,NOS WOW
MOM WHO,OHM WOW
N IN,NI N
N IS,SI N
N N,N N
N O,O N
NO I,I ON
NO IN,NI ON
NO NON,NON ON
NO ON,NO ON
NO SHOW,MOHS ON
NO SIN,NIS ON
NOON IN,NI NOON
NOON ON,NO NOON
NOW HIS,SIH MON
NOW IM,WI MON
NOW NO,ON MON
NOW NOW,MON MON
NOW OWN,NMO MON
NOW OWNS,SNMO MON
NOW SHOW,MOHS MON
NOW SO,OS MON
O IN,NI O
O N,N O
O O,O O
OH I,I HO
OH OH,HO HO
OH SO,OS HO
OMISSION IN,NI NOISSIWO
OMISSIONS IN,NI SNOISSIWO
OMISSIONS ON,NO SNOISSIWO
ON HIM,WIH NO
ON HOW,MOH NO
ON I,I NO
ON IS,SI NO
ON MISSION,NOISSIW NO
ON MSN,NSW NO
ON N,N NO
ON NO,ON NO
ON NON,NON NO
ON NOW,MON NO
ON ON,NO NO
ON OWN,NMO NO
ON SHOW,MOHS NO
ON SIX,XIS NO
ON SNOW,MONS NO
ON SO,OS NO
ON WHO,OHM NO
ON WHOM,WOHM NO
ON X,X NO
OO O,O OO
OS X,X SO
OWN IN,NI NMO
OWN IS,SI NMO
OWN ON,NO NMO
OWN SHOW,MOHS NMO
OWN SON,NOS NMO
S IN,NI S
S IS,SI S
S NO,ON S
S ON,NO S
S OWN,NMO S
S S,S S
S SO,OS S
S WHO,OHM S
SHOW HIM,WIH MOHS
SHOW HIS,SIH MOHS
SHOW HOW,MOH MOHS
SHOW NO,ON MOHS
SHOW SO,OS MOHS
SHOWN HOW,MOH NMOHS
SHOWN IS,SI NMOHS
SHOWN NO,ON NMOHS
SHOWN ON,NO NMOHS
SHOWS HIM,WIH SMOHS
SHOWS HIS,SIH SMOHS
SHOWS IS,SI SMOHS
SHOWS NO,ON SMOHS
SIN IN,NI NIS
SIN IS,SI NIS
SIX IN,NI XIS
SNOW IS,SI MONS
SNOW ON,NO MONS
SO HIS,SIH OS
SO IM,WI OS
SO SO,OS OS
SO SOON,NOOS OS
SO WISH,HSIM OS
SON MOM,WOW NOS
SON WHO,OHM NOS
SON XXX,XXX NOS
SOON IN,NI NOOS
SOON ON,NO NOOS
SOON SO,OS NOOS
SWIM IN,NI WIMS
W IS,SI M
W W,M M
W X,X M
WHO I,I OHM
WHO NO,ON OHM
WHO NOW,MON OHM
WHO ON,NO OHM
WHO OWN,NMO OHM
WHO SHOW,MOHS OHM
WHO SHOWS,SMOHS OHM
WHO SO,OS OHM
WHO WINS,SNIM OHM
WHO WISH,HSIM OHM
WHO WON,NOM OHM
WHOM IS,SI WOHM
WIN HIS,SIH NIM
WIN IN,NI NIM
WIN IS,SI NIM
WIN ON,NO NIM
WINS IN,NI SNIM
WISH HIM,WIH HSIM
WISH I,I HSIM
WISH IS,SI HSIM
WON HIM,WIH NOM
WON HIS,SIH NOM
WON IN,NI NOM
WON ON,NO NOM
X IN,NI X
X IS,SI X
X X,X X
XX XX,XX XX
XXX XXX,XXX XXX
Z IS,SI Z
Z OO,OO Z
ZZ ZZZ,ZZZ ZZ
ZZZ ZZZZ,ZZZZ ZZZ
